Комментарий;НА ПЕРЕВОД;RU: русский;EN: английский;PL: польский;KZ: казахский (коррект);DE: немецкий;FR: французский;ES: испанский;IT: итальянский;BY: белорусский;UA: украинский;NL: голландский/нидерландский;KG: киргизский;UZ: узбекский;Армянский
;канва Zweigart Stramin с напечатанным фоном;канва Zweigart Stramin с напечатанным фоном;Zweigart Stramin fabric with a printed background;wzmocniona kanwa Zweigart Stramin z nadrukowanym t?em;басыл?ан фоны бар селдір мата Zweigart Stramin;appretierter Stramin Gamma K04 mit bedrucktem Hintergrund;canevas appr?t? Zweigart Stramin avec fond imprim?;ca?amazo tupido Zweigart Stramin con fondo impreso;canovaccio apprettato Zweigart Stramin con lo sfondo stampato;канва Zweigart Stramin з надрукаваным фонам;канва апретована Zweigart Stramin з надрукаваным малюнкам;;басылган фон? менен си?ирилген канва-торчо Zweigart Stramin;bosilgan foni bilan tugallangan to‘quv kanva Zweigart Stramin;
;канва Gamma K04L с люрексом;канва аппретированная Gamma K04L с люрексом;Gamma aida fabric with lurex;kanwa z lureksem;люрексті аппретирленген селдір мата Gamma K04R;Stramin mit Lurex;canevas avec lurex;ca?amazo con l?rex;canovaccio con lurex;канва Gamma K04L з люраксам;канва з люрексом;;люрекс канва-торчо Gamma K04L;lyureksli to‘quv kanva Gamma K04L ;
;пластиковая канва Gamma KPLA-15;пластиковая канва Gamma KPLA-14;Gamma plastic KPLA-14 canvas;plastykowa kanwa  KPLA-14 Gamma;пластикті селдір мата KPLA-14 Gamma;Plastikstramin KPLA-14 Gamma;canevas en plastique KPLA-14 Gamma;ca?amazo pl?stico KPLA-14 Gamma;canovaccio palstico KPLA-14 Gamma;пластыкавая канва Gamma KPLA-15;;;пластик канва-торчо Gamma KPLA-14 ;plastik to‘quv kanva Gamma KPLA-14;
;канва равномерного плетения Zweigart K25 Lugana;;Zweigart K25 Lugana evenweave fabric;kanwa z tkaniny Zweigart K25 Lugana;біркелкі то?ыл?ан бар селдір мата Zweigart K25 Lugana;Straminstoff Zweigart K25 Lugana;toile – canevas Zweigart K25 Lugana;ca?amazo Zweigart K25 Lugana;tessuto canovaggio Zweigart K25 Lugana;канва раўнамернага пляцення Zweigart;;;бирдей токулган менен канва-торчо Zweigart;bir tekis to'qilgan to‘quv kanva Zweigart;
;канва равномерного плетения Gamma K27 Linda;канва равномерного плетения Gamma K27 Linda;Gamma Linda K27 evenweave fabric;kanwa z tkaniny  K27 Gamma Linda;біркелкі то?ыл?ан бар селдір мата Gamma K27 Linda;Straminstoff Gamma K27 Linda;toile – canevas  Gamma K27 Linda;ca?amazo Gamma K27 Linda;tessuto canovaggio Gamma K27 Linda;канва раўнамернага пляцення Gamma K27 Linda;тканина-канва  Gamma K27 Linda;;бирдей токулган менен канва-торчо Gamma K27 Linda;bir tekis to'qilgan to‘quv kanva Gamma K27 Linda;
;канва равномерного плетения Gamma К27 Linda с напечатанной схемой;канва равномерного плетения Gamma К27 Linda с напечатанной схемой;Gamma Linda K27 evenweave fabric with a printed chart;kanwa z tkaniny Gamma  K27 Linda z nadrukowanym t?em;басыл?ан схемасы бар біркелкі то?ыл?ан бар селдір мата Gamma K27 Linda;Straminstoff Gamma К27 Linda mit aufgedrucktem Schema;toile – canevas Gamma K27 Linda avec diagramme imprimm?;ca?amazo Gamma  K27 Linda con esquema impreso;tessuto canovaccio Gamma K27 Linda con schema stampato;канва раўнамернага пляцення Gamma К27 Linda з надрукаванай схемай;тканина-канва K27 Gamma Linda з надрукованою на ній схемою;;басылган схемасы менен бирдей токулган менен канва-торчо Gamma К27 Linda;sxemasi bosilgan bir tekis to'qilgan to‘quv kanva Gamma К27 Linda;
;канва равномерного плетения Zweigart  K27 Linda;канва равномерного плетения Zweigart  K27 Linda;Zweigart  K27 Linda evenweave fabric;kanwa z tkaniny Zweigart K27 Linda;біркелкі то?ыл?ан бар селдір мата Zweigart K27 Linda;Straminstoff Zweigart K27 Linda;toile – canevas Zweigart K27 Linda;ca?amazo Zweigart K27 Linda;tessuto canovaggio Zweigart K27 Linda;;;;бирдей токулган менен канва-торчо Zweigart K27 Linda;bir tekis to'qilgan to‘quv kanva Zweigart K27 Linda ;
;канва равномерного плетения Zweigart  K32 Murano;канва равномерного плетения Zweigart  K32 Murano;Zweigart K32 Murano evenweave fabric;kanwa z tkaniny Zweigart K32 Murano;біркелкі то?ыл?ан бар селдір мата Zweigart K32 Murano;Straminstoff Zweigart K32 Murano;toile – canevas Zweigart K32 Murano;ca?amazo Zweigart K32 Murano;tessuto canovaggio Zweigart K32 Murano;;;;бирдей токулган менен канва-торчо Zweigart K32 Murano;bir tekis to'qilgan to‘quv kanva Zweigart K32 Murano ;
;;канва равномерного плетения Zweigart K32 Belfast;Zweigart K32 Belfast evenweave fabric;kanwa z tkaniny Zweigart K32 Belfast;біркелкі то?ыл?ан бар селдір мата Zweigart K32 Belfast;Straminstoff Zweigart K32 Belfast ;toile – canevas Zweigart K32 Belfast;ca?amazo Zweigart K32 Belfast;tessuto canovaggio Zweigart K32 Belfast;канва раўнамернага пляцення Zweigart K32 Belfast;тканина-канва Zweigart K32 Belfast;;бирдей токулган менен канва-торчо Zweigart K32 Belfast;bir tekis to'qilgan to‘quv kanva Zweigart K32 Belfast ;
;"K27/А  Linda ""Gamma"" ";K27/А Linda «Gamma»;K27/А Linda «Gamma»;;K27/А Linda «Gamma»;K27/А Linda «Gamma»;K27/А Linda «Gamma»;;;K27/А Linda «Gamma»;;;K27/А Linda «Gamma»;K27/А Linda «Gamma»;K27/А Linda «Gamma»
;ткань 100% хлопок;ткань 100% хлопок;fabric 100% cotton;tkanina 100% bawe?na;мата 100% ма?та;Stoff 100% Baumwolle;tissu 100% cotton;tejido 100% algod?n;tessuto di cottone 100%;тканіна 100% бавоўна;тканина 100% бавовна;;100% пахта кездеме;100% paxta mato;
;однотонный хлопок;однотонный хлопок;plain cotton;;;;;;;;;;;;
;атлас;атлас;satin;at?as;атлас;Atlas;satin;saet?n;raso;атлас;атлас;;атлас;atlas;
;сатин;сатин;sateen;satyna;с?тен;Satin;satin de coton;sat?n;satin;сацін;сацін;;сатин;satin;
;бархат;бархат;velvet;aksamit;бар?ыт;Samt;velours de soie;terciopelo;velluto;аксаміт;оксамит;;баркыт;velvet;
;велюр;велюр;velour;welur;масаты;Velour;velours;velour;velour;велюр;велюр;;чий баркыт;velyur;
;водорастворимый флизелин;водорастворимый флизелин;water soluble interfacing;wodorozpuszczalna flizelina;суда еритін флизелин;wasserl?sliche Vlieseline;vlieseline soluble dans l'eau;flizelin soluble en agua;flizelin solubile nell'acqua;вадараспушчальны флизелин;;;сууда эр??ч? флизелин;suvda eruvchan flizelin;
;водорастворимый флизелин с напечатанным контуром;водорастворимый флизелин с напечатанным контуром;water soluble interfacing with a printed outline;wodorozcie?czalna flizelina z nadrukowanym konturem;басыл?ан контуры бар суда еритін флизелин;wasserl?sliche Vlieseline mit dem gedruckten Kontur;vlieseline soluble dans l'eau avec le contour imprim?;flizelin soluble en agua impreso con contorno;flizelin solubile nell'acqua con il contorno stampato;вадараспушчальны флизелин з надрукаваным контурам;;;басылган контур менен сууда эр??ч? флизелин;bosilgan konturli bilan suvda eruvchan flizelin;
;водорастворимая канва;водорастворимая канва;water soluble canvas;wodorozcie?czalna kanwa;суда еритін селдір мата;wasserl?sliche Stramin;canevas soluble dans l'eau;ca?amazo soluble en agua;canovaccio solubile nell'acqua;вадараспушчальная канва;;;сууда эр??ч? канва-торчо;suvda eruvchan kanva;
;водорастворимая канва Gamma;водорастворимая канва Gamma;Gamma water soluble canvas;wodorozcie?czalna kanwa Gamma;суда еритін селдір мата Gamma;wasserl?sliche Stramin Gamma;canevas soluble dans l'eau Gamma;ca?amazo soluble en agua Gamma;canovaccio solubile nell'acqua Gamma;вадараспушчальная канва Gamma;;;сууда эр??ч? канва-торчо  Gamma;suvda eruvchan kanva Gamma;
для гипюровой кружевной ленты;гипюр Gamma;гипюр Gamma;Gamma guipure lace trim;gipiura Gamma;гипюр Gamma;Gip?re Gamma;guipure Gamma;guipur;guipure Gamma;гіпюр Gamma;гіпюр Gamma;;Gamma гипюру;Gamma gipyuri;
для гипюрового полотна;;гипюр Gamma;Gamma guipure;;;;;;;;;;гипюр Gamma;Gamma gipyur;
;дублерин;дублерин;woven interfacing;wk?ad tkany lub dziany z klejem;дублерин;Gewebeeinlage;doublure;bucar?n;doublerine;дублярын;дублерин;;дублерин;dublerin;
;искусственная замша;искусственная замша;faux suede;materia? zamszopodobny;жасанды к?дері;k?nstliches Wildleder;daim artificiel;gamuza artificial;pelle scamosciata artificiale;штучны замш;штучна замша;;жасалма замша;sun'iy zamsh;
;искусственная кожа;искусственная кожа;faux leather;skaj;жасанды тері;Kunstleder;cuir artificiel;piel artificial;pelle finta;штучная скура;штучная скура;;жасалма тери;sun'iy teri;
http://shop.firma-gamma.ru/search/?query=%E7%E0%EC%F8%E0+EVA&type=all;пластичная замша;пластичная замша;foamiran foam sheet;plastyczny zamsz;икемді ж?мса? тері;ausdehnbares Lindleder;daim souple;gamuza pl?stica;pelle scamosciata plastica;пластычны замш;;;пластик замша;plastik zamsh;
;искусственный мех;искусственный мех;faux fur;;жасанды а? тері ;;fausse fourrure;;;;;;жасалма мех;sun'iy mo'yna;
;искусственный мех «норка»;искусственный мех «норка»;faux fur “mink”;;«?арак?зен» жасанды а? тері ;;fausse fourrure « vison »;;;;;;«норка» жасалма мех;«qorakuzan» sun'iy mo'yna;
;трикотаж;; jersey;;трикотаж;;tricotage ;;;трыкатаж;;;трикотаж;trikotaj;
;трикотажная пряжа ;;knitting yarn;;то?ыл?ан иірімжіп;;laine ? tricoter;;;трыкатажная пража;;;трикотаж жип;trikotaj ip;
;кукольный трикотаж;кукольный трикотаж;toy-making jersey;dzianina do szycia lalek;?уырша?ты трикотаж;Trikotstoff f?r Puppen;tricotage de poup?e;punto de mu?eca;maglia per bambole;лялечны трыкатаж;ляльковий трикотаж;;куурчак трикотаж;qo'g'irchoq trikotaj;
;лен;лен;linen;tkanina lniana;зы?ыр;Lein;lin;lino;lino;лён;льон;;зыгыр;zig'ir;
;микропаутинка;микропаутинка;voile fabric;paj?czyna;микротор;Mikro-Netzstoff;microtulle;micromalla;tessuto microragnatela;микрапавуцінне;мікропавутинка;;;;
;органза;органза;organza;organza;органза;Organza;organza;organza;organza;арганза;органза;;органза;organza;
;Органза с напечатанным контуром;Органза с напечатанным контуром;Organza with a printed outline;;Басыл?ан пішіні бар органза;Organza mit aufgedruckter Kontur;Organza avec le contour imprim?;;;Органза з надрукаваным контурам;;;басылган контур менен органза;bosilgan konturli bilan organza;
;плюш;плюш;plush;plusz;п?лiш;Kettsamt;peluche;felpa;felpa;плюш;плюш;;плюш;plyush;
;подкладочная ткань;подкладочная ткань;lining fabric;tkanina podbiciowa;астар мата;Futtermaterial;toile pour doubler;tejido de forro;fodera;тканіна для падшэўкі;підкладкова тканина;;ичтеме кездеме;astarlik mato;
http://shop.firma-gamma.ru/good/47995797612/;пробка;пробка;cork sheet;korek;тоз;Kork;li?ge;corcho;sughero;корак;корок;;тыгын;tiqin;
;фатин ;фатин;tulle;tiul;фатин;T?ll;tulle;velo;tulle in poliestere;фатын;фатин;;фатин;fatin;
;фетр;фетр;felt;filc;ж??а киіз;Filz;feutre;fieltro;feltro;фетр;фетр;;фетр;fetr;
;фетр с блестками;фетр с блестками;glitter felt;filc b?yszcz?cy;жылтыра?тары бар мата;Filz mit Glitzern;feutre paillet?;fieltro con destellos;feltro con glitter;фетр з бліскаўкамі;фетр з блискітками;;жылтырактары менен фетр;yaltiroq bilan fetr;
;фетр с напечатанным контуром;фетр с напечатанным контуром;felt base with a printed outline;filc z nadrukowan? obw?dk?;басыл?ан контуры бар киіз;Filz mit aufgedruckter Kontur;feutre ? contour imprim?;fieltro con el contorno impreso;feltro con il contorno stampato;фетр з надрукаваным контурам;фетр з надрукованим контуром;;басылган контур менен фетр;bosilgan konturli bilan fetr;
;фетр с напечатанным рисунком;фетр с напечатанным рисунком;felt base with a printed image;;басыл?ан суреті бар киіз;Filz mit aufgedruckter Abbildung;Feutre avec motif imprim?;;;Фетр з надрукаваным малюнкам;;;басылган с?р?т? менен фетр;bosilgan rasmli bilan fetr;
;флизелин;флизелин;interfacing;flizelina;флизелин;Vlieseline;vlieseline;flizelin;flizelin;флизелин;флізелін;;флизелин;flizelin;
;флис;флис;fleece;fleece polar;флис;Fleece;polaire;vell?n;pile;фліс;фліс;;флис;flis;
;ткань с напечатанным рисунком;ткань с напечатанным рисунком;fabric with a printed image;tkanina z nadrukowanym schematem rysunkiem;басыл?ан суреті  бар мата;Stoff mit aufgedruckter Abbildung;toile avec motif imprim?;tela con imagen impresa;tessuto con disegno stampato;тканіна з надрукаваным малюнкам;тканина з надрукованим малюнком;;басылган с?р?т? менен кездеме ;bosilgan rasmli bilan mato;
;Ткань с печатью;Ткань с печатью;Fabric with a printed image;;басыл?ан суреті бар мата;Stoff mit aufgedruckter Abbildung;Toile avec motif imprim?;;;Тканіна з пячаткай;;;басылган с?р?т? менен кездеме;bosilgan rasmli bilan mato;
;ткань бязь с напечатанным цветным рисунком-схемой;ткань бязь с напечатанным цветным рисунком-схемой;calico fabric with a full-colour printed image and chart;tkanina (bawe?na) z nadrukowanym schematycznym kolorowym rysunkiem;басыл?ан т?рлі-т?сті сурет-схема бар б?з мата;Nesselstoff mit aufgedruckter farbiger Schema-Abbildung;toile de coton avec un motif de couleur imprim? - diagramme;percal con esquema imagen de color impreso;tela di cotone con disegno schematico stampato;тканіна бязь з надрукаваным каляровым малюнкам-схемай;тканина бязь з надрукованим кольоровим малюнком-схемою;;басмага басылган ??д?? с?р?т-схемасы менен бязь кездеме;rangli rasm sxemasi bosilgan bilan bo'z mato;
;дублированная ткань сатен с напечатанным цветным рисунком-схемой;дублированная ткань сатен с напечатанным цветным рисунком-схемой;polyester fabric, reinforced with interfacing, with a full-colour printed chart;podw?jna tkanina (satyna) z nadrukowanym schematycznym rysunkiem;басыл?ан т?рлі-т?сті сурет-схема бар ?осарлан?ан с?тен мата;Doppelstoff (Satin) mit aufgedruckter farbiger Schema-Abbildung;tissu satin double avec un motife-diagramme de couleur imprim?;doble tela de sat?n con esquema imagen de color impreso;tessuto duplicato satin con un disegno schematico a colori stampato;дубляваная тканіна сатэн з надрукаваным каляровым малюнкам-схемай;дубльована тканина сатин з надрукованим кольоровим малюнком-схемою;;;;
Miadolla;ткань с напечатанным рисунком (лицо);ткань с напечатанным рисунком (лицо);fabric with a printed image (face);tkanina z nadrukiem (twarz);басыл?ан суреті (бет) бар мата; mit aufgedruckter Abbildung (Gesicht);toile avec motif imprim? (face);tela con imagen impresa (rostro);tessuto con disegno stampato (viso);тканіна з надрукаваным малюнкам (твар);тканина з надрукованим малюнком (лицьовий бік);;басылган с?р?т? (бет) менен кездеме;bosilgan rasmli (yuz) bilan mato;
PEPPY аппликации;ткань с напечатанными рисунками-выкройками;ткань с напечатанными рисунками-выкройками;fabric with printed patterns;tkanina z wydrukowanymi rysunkami-wykrojami;б?ліктеріні? ?лгілері басыл?ан мата;Stoff mit gedrucktem Zuschnittmuster;toile avec motifs imprim?s;tejido con plantillas de dibujos impresas;tessuto con motivi-cartamodelli stampati;тканіна з надрукаванымі малюнкамі-выкрайкамі;тканина з надрукованими малюнками-викрійками;;басылган ?лг?л?р? б?л?кт?рд?н  менен кездеме;naqshlari bosilgan rasmli bilan mato;
;фетр с напечатанными рисунками-выкройками;фетр с напечатанными рисунками-выкройками;felt with printed patterns;;б?ліктеріні? ?лгілері басыл?ан ж??а киіз;;feutre avec motifs imprim?s;;;фетр з надрукаванымі малюнкамі-выкрайкамі;;;басылган ?лг?л?р? б?л?кт?рд?н  менен фетр;naqshlari bosilgan rasmli bilan fetr;
;ткань флок;ткань флок;fabric flock;;мата флок;;tissu de troupeau;;;тканіна флок;;;флок кездеме;flok mato;
;с люрексом;с люрексом;with lurex;;лурекспен;mit Lurex;avec lurex;;;з люраксам;;;люрекс менен;lurex bilan; ??????? ???
;дополнительный отрез ткани;дополнительный отрез ткани;an extra piece of fabric;dodatkowy kawa?ek bia?ej tkaniny (gabardyna);?осымша мата кесіндісі;zus?tzliches wei?es Stoffst?ck (Gabardine);un morceau suppl?mentaire de tissu blanc (gabardine);pieza adicional de tela blanca (gabardina);un pezzo complementare di tessuto bianco (gabardine);дадатковы адрэз тканіны;додатковий шматок білої тканини (габардин);;;;
см.Примечание;блестящий трикотаж;блестящий трикотаж;shimmering jersey;b?yszcz?ca dzianina;жылтыра? трикотаж;Glanztrikotstoff;tricot luisant;punto destellante;maglia lucida;бліскучы трыкатаж;блискучий трикотаж;;жалтыраган трикотаж;yaltiroq trikotaj;
см.Примечание;;;sparkling jersey;;;;;;;;;;;;
см.Примечание;;;glitter jersey;;;;;;;;;;;;
см.Примечание;;;lame jercey;;;;;;;;;;;;
;ткань с блестками;ткань с блестками;glitter fabric;b?yszcz?ca tkanina;жылтыра?тары бар ж??а киіз;Stoff mit Glitzern;tissu ? paillettes;tejido con destellos;tessuto con glitter;тканіна з бліскаўкамі;тканина з блискітками;;жылтырактары менен кездеме;yaltiroq aralashgan mato;
;джинсовая ткань;джинсовая ткань;denim;tkanina d?insowa;джинсалы? мата;Denim;tissu denim;tejido de jeans;denim;джынсавая тканіна;джинсова тканина;;джинса кездеме;jinsi mato;
;;ткань с пайетками;sequin fabric;tkanina z cekinami;пайеткалар жапсырыл?ан мата;;tissu ? paillettes;;;тканіна з пайеткамі;;;?ст?н? пайеткалар тигилген кездеме;payetka mato;
https://www.livemaster.ru/item/26372059-materialy-dlya-tvorchestva-tkan-s-dvustoronnimi-pajetkami-pud;;ткань с двусторонними пайетками;reversible sequin fabric;tkanina z dwustronnymi cekinami;екі жа?ты пайеткалар жапсырыл?ан мата;;tissu ? sequins r?versibles;;;тканіна з двухбаковымі пайеткамі;;;эки тараптуу пайеткалары менен кездеме;ikki tomonli payetkali mato;
см.Примечание;трикотаж с металлизированным напылением;трикотаж с металлизированным напылением;metallic foil jersey;dzianina z metalizuj?cym napyleniem;металмен тоза?датыл?ан трикотаж;metallisierter Trikotstoff;tricotage ? pulverisation m?tallis?e;punto con aspersi?n metalizada;maglia metallizzata;трыкатаж з металізаваным напыленнем;трикотаж з металізованим напиленням;;;;
;;полиэстеровый холст;polyester fabric;;полиэстер кенеп;;;;;полiэстэравае палатно;;;полиэстер кенеп;polyester tuval;
http://tkac.ru/tkani/wellsoft.html;;велсофт;wellsoft;wellsoft;велсофт;;;;;велсофт;;;;;
Ленты, шнуры;;;;;;;;;;;;;;;
;атласная лента;атласная лента;satin ribbon;aksamitna ta?ma;атлас лента;Atlasband;ruban de satin;cinta satinada;nastro di raso;атласная стужка;стрічка;;атлас тасма;atlas lenta;
;атласные ленты;атласные ленты;satin ribbons;aksamitne ta?my;атлас ленталар;Atlasb?nder;rubans de satin;cintas satinadas;nastri di raso;атласныя стужкі;стрічки;;атлас тасмалар;atlas lentalar;
;бархатная лента;бархатная лента;velvet ribbon;;бар?ыт лента;Band;ruban de velours;;;;;;баркыт тасма;baxmal lenta;
;;ленты;ribbons;ta?my;ленталар;B?nder;rubans;cintas;nastri;стужкі;стрічки;;тасмалар;lentalar;
см.Примечание;декоративная лента;декоративная лента;ribbon;ta?ma dekoracyjna;с?ндік лента;dekoratives Band;ruban d?coratif;cinta decorativa;nastro decorativo;дэкаратыўная стужка;декоративна стрічка;;декоративд?? тасма;dekorativ lenta;
см.Примечание;;;braid;;;;;;;;;;;;
см.Примечание;;;lace ribbon;;;;;;;;;;;;
см.Примечание;декоративная тесьма;декоративная тесьма;ribbon;ta?ma ozdobna;с?ндік таспа;dekoratives Borte;galon d?coratif;trencilla decorativa;fettuccia decorativa;дэкаратыўная тасьма;декоративна тасьма;;декоративд?? тилке;dekorativ tesma;
см.Примечание;;;braid;;;;;;;;;;;;
см.Примечание;;;lace ribbon;;;;;;;;;;;;
